# eta f fp fpp
3.5600000000 1.892671471547e+00 9.193300262765e-01 1.019078716986e-01
3.5700000000 1.901869851149e+00 9.203442904610e-01 1.009457089749e-01
3.5800000000 1.911078325359e+00 9.213489553993e-01 9.998802923381e-02
3.5900000000 1.920296798410e+00 9.223440661230e-01 9.903487268950e-02
3.6000000000 1.929525174986e+00 9.233296680617e-01 9.808627874158e-02
3.6100000000 1.938763360228e+00 9.243058070350e-01 9.714228597245e-02
3.6200000000 1.948011259737e+00 9.252725292443e-01 9.620293214463e-02
3.6300000000 1.957268779579e+00 9.262298812642e-01 9.526825419838e-02
3.6400000000 1.966535826285e+00 9.271779100349e-01 9.433828824951e-02
3.6500000000 1.975812306860e+00 9.281166628534e-01 9.341306958743e-02
3.6600000000 1.985098128781e+00 9.290461873658e-01 9.249263267347e-02
3.6700000000 1.994393200006e+00 9.299665315582e-01 9.157701113929e-02
3.6800000000 2.003697428973e+00 9.308777437491e-01 9.066623778570e-02
3.6900000000 2.013010724604e+00 9.317798725810e-01 8.976034458153e-02
3.7000000000 2.022332996310e+00 9.326729670117e-01 8.885936266281e-02
3.7100000000 2.031664153993e+00 9.335570763062e-01 8.796332233218e-02
3.7200000000 2.041004108051e+00 9.344322500285e-01 8.707225305844e-02
3.7300000000 2.050352769375e+00 9.352985380330e-01 8.618618347639e-02
3.7400000000 2.059710049360e+00 9.361559904563e-01 8.530514138685e-02
3.7500000000 2.069075859900e+00 9.370046577089e-01 8.442915375691e-02
3.7600000000 2.078450113399e+00 9.378445904667e-01 8.355824672037e-02
